h_mm,coil_exp_mT,coil_theory_mT,residual_mT,relative_error_percent,distance_uncertainty_percent_if_dh_0p4mm,abs_relative_error_over_distance_uncertainty,MC_theory_mean_mT,MC_95_low_mT,MC_95_high_mT,exp_inside_MC_95_h_only
5.4,2.3255,2.3471,-0.021600000000000286,-0.9202846065357371,0.9905833435245204,0.9290329910670023,2.3468885301109648,2.324445278401852,2.3685934336798504,True
15.4,1.5583,1.5512,0.007100000000000106,0.45771015987623176,2.1434536512944233,0.21353863173100215,1.5513282585968886,1.5197961792657417,1.582968419795344,True
25.4,0.8133,0.8675,-0.054200000000000026,-6.2478386167147,2.3996976758833535,2.603594060828853,0.8675265990520559,0.8479402127174448,0.887527902734794,False
35.4,0.486,0.4825,0.003500000000000003,0.7253886010362701,2.2617881330664056,0.3207146551135313,0.48253909456504657,0.4722248184092163,0.49295751466234855,True
45.4,0.283,0.2821,0.0008999999999999564,0.31903580290675515,2.028174047711231,0.15730198464317355,0.2821002765331441,0.27670283632839104,0.28757718839051694,True
55.4,0.1755,0.1749,0.0005999999999999894,0.3430531732418465,1.7995972020702948,0.19062775428145298,0.174917343068924,0.17194016671041504,0.17792150945410182,True
65.4,0.1142,0.1144,-0.00020000000000000573,-0.17482517482517984,1.6009269383292262,0.10920246929421555,0.11441922713631839,0.11268978704057854,0.11616982587744036,True
75.4,0.0764,0.0783,-0.001899999999999999,-2.4265644955300116,1.4338780633137669,1.6923088215200772,0.07834537878549071,0.07728478453026616,0.07941915668486053,False
85.4,0.0542,0.0557,-0.0015000000000000013,-2.692998204667866,1.2942400759772474,2.0807563099407598,0.055737376232669215,0.055054666733879445,0.05642558860362736,False
95.4,0.0398,0.0409,-0.0010999999999999968,-2.6894865525672293,1.1770318399039292,2.2849734912750947,0.04094040858178317,0.040485148667232504,0.04140088069853911,False
105.4,0.03,0.0309,-0.0009000000000000015,-2.912621359223306,1.0778786040074448,2.7021793997899866,0.030894452830692233,0.03057997802859176,0.03121266297752562,False
125.4,0.0182,0.0188,-0.0005999999999999998,-3.1914893617021267,0.9203579659159298,3.4676609318266647,0.01878384924855258,0.01861994743605369,0.01894857807694445,False
145.4,0.0117,0.0122,-0.0005000000000000004,-4.098360655737708,0.8016113085633847,5.112653242233601,0.01222918490834895,0.012136214748581172,0.012322505578589804,False
165.4,0.0097,0.0084,0.0013000000000000008,15.476190476190489,0.7093090740671913,21.818683902420318,0.00838950668009422,0.00833321586323166,0.008446274734395375,False
185.4,0.0054,0.006,-0.0005999999999999998,-9.999999999999998,0.6356905620181175,15.730924128011505,0.005997873956612405,0.005961710456070424,0.006034166652658574,False
205.4,0.0029,0.0044,-0.0015000000000000005,-34.0909090909091,0.575697386098431,59.21671682747633,0.004432817343160974,0.0044086630052211214,0.004457163218541474,False
