h_mm,coil_m_eff_A_m2,magnet_m_eff_A_m2,coil_m_eff_over_theory,magnet_over_coil_theory
5.4,0.00183091266,0.006682772159999999,0.00932476160667298,0.03403507913026887
15.4,0.028456614956000003,0.6563118408,0.144928349885125,3.3425687575379537
25.4,0.06663799575599999,1.8861510663999999,0.33938452551373244,9.606088500339506
35.4,0.10779932952,2.9103600877200004,0.5490174769632022,14.822342212416002
45.4,0.13241097955999998,3.598958497439999,0.6743635813316451,18.329345115204994
55.4,0.14920260965999996,4.07310372012,0.7598826511871859,20.744146905058738
65.4,0.15972369674399997,4.3917023448,0.8134661077029907,22.366756376421986
75.4,0.16374852644800006,4.584530079480001,0.8339643970628212,23.3488199648871
85.4,0.168788519144,4.7347982381280005,0.8596328690857152,24.114129412507776
95.4,0.1727818821360001,4.843536329124001,0.879970899797301,24.667927962408253
105.4,0.17563581960000002,4.9207302124600005,0.8945058839467646,25.06107318190852
125.4,0.17944609082400004,5.011672965156,0.9139114359410176,25.52424081806699
145.4,0.17982459284399996,5.0719756956,0.9158391308995217,25.83136010229421
165.4,0.21945640180400008,5.106320606924002,1.1176822764885677,26.006277299326776
185.4,0.17206516432800006,5.13009101052,0.8763206859750549,26.127338970737735
205.4,0.12565197522799998,5.134399677419999,0.6399402549374904,26.14928283106642
