source,fit_range,n_points,intercept,slope_beta,R2_loglog
coil,all,16,5.607241351547117,-1.9629490935621512,0.9124842921662921
magnet,all,16,7.175820110419276,-1.5707863755879217,0.7457558073962476
coil,h >= 35.4 mm,13,9.513776872410311,-2.811184997292737,0.9904901572158163
magnet,h >= 35.4 mm,13,12.465757811826963,-2.724836744893259,0.9974857706489534
coil,h >= 55.4 mm,11,10.230271845893535,-2.9587772101806142,0.9891308447946487
magnet,h >= 55.4 mm,11,13.030966489241768,-2.841308577177532,0.9994865619261922
coil,h >= 75.4 mm,9,10.699476269862437,-3.0531290894418444,0.9830156005789026
magnet,h >= 75.4 mm,9,13.289742407343132,-2.8933840172041645,0.9998517662991057
coil,h >= 105.4 mm,6,11.933720586776305,-3.295094595511478,0.9614862471105982
magnet,h >= 105.4 mm,6,13.506323553311065,-2.935965389243741,0.9999666769264569
